rawText,ingredientMasterId
칼슘혼합제제,491
Lactiplantibacillus plantarum,541
귀리단백,163
난각칼슘,491
달맞이꽃종자유,109
마리골드꽃주정추출물(지아잔틴함유)(제2025-70호),230
분리완두단백,163
비타민B2혼합제제,303
제이인산칼슘,491
대두이소플라본,175
"산화아연분말(가루, 과립)",378
파크랜크랜베리분말(기능성원료인정제2014-34호),522
피크노제놀-프랑스해안송껍질추출물<PYCNOGENOL>(기능성원료인정제2006-1호),558
"홍삼분말(가루, 과립)",586
"Bifidobacterium longum분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 보호제 및 희석제 적량)",541
"Lactobacillus acidophilus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
Lactobacillus gasseri BNR17(기능성원료인정제2017-6호),63
공액리놀레산,120
나토배양물(분말)(기능성원료인정제2009-50호),33
"녹차추출물분말(가루, 과립)",159
루테인지아잔틴복합추출물(기능성원료인정제2019-16호),215
"밀크씨슬(카르두스마리아누스)추출물분말(가루, 과립)",258
쏘팔메토 열매추출물,363
염화마그네슘(고시형),226
"은행잎추출물분말(가루, 과립)",430
청국장균배양정제물(폴리감마글루탐산칼륨)(기능성원료인정제2012-25호),483
초록입홍합추출오일(기능성원료인정제2009-49호),224
글루코사민염산염분말(고시형),139
농축유청,163
루테인지아잔틴추출복합물(제2025-35호),219
마늘(고시형),227
밀크씨슬(카르두스마리아누스)추출물,258
"비타민 D3 혼합제제분말(가루, 과립)",306
"비피도박테리움 락티스 비피더스균{BIFIDOBACTERIUM LACTIS의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
염화칼륨,490
엽산혼합제제,395
유단백가수분해물(고시형),418
참당귀 추출분말(Nutragen)(기능성원료인정제2014-44호),476
"Streptococcus thermophilus분말(가루, 과립)(생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량)",541
dl-α-토코페릴아세테이트,307
가르시니아캄보지아껍질추출물분말,93
구리(고시형),124
구아바잎추출물 등 복합물(BENDU381)(기능성원료인정제2009-16호),129
"락토바실루스 플란타룸 유산균{LACTOBACILLUS PLANTARUM의 생균으로 100,000,000,000개/g 이상, 희석제(옥수수전분) 적량}",541
"비타민 B6 염산염분말(가루, 과립)",304
비타민 K1,308
비타민B6염산염혼합제제,304
피브로인추출물 BF-7(기능성원료인정제2009-46호),554
핑거루트추출분말(판두라틴)(기능성원료인정제2013-5호),561
해조분말(비소성),491
헛개나무과병추출분말(기능성원료인정제2016-10호),570
흑삼,586
흑삼분말,586
